# index freq sideband ut ob j radius  fwhm1 fwhm2 amp1 amp2 back  rms asp_ratio el az wvm daz1 del1 daz2 del2
1 691.4736 1 20251129 00078 1 18.6283 16.664558949863 0 1.0 0    0.000901873709229175 2.50498804063993 1.13024 43.2231 281.23 0.0436985 -0.001446 0.00027 -0.001460 0.000293 
2 691.4726 1 20251129 00078 2 18.6283 16.6537835410324 0 1.0 0 0.0063883409950691 2.52535962468857 1.13069 43.2231 281.23 0.0436985 -0.001446 0.00026 -0.001460 0.000290 
3 691.4716 1 20251129 00078 3 18.6283 18.5233940307776 0 1.0 0 0.0310883412990124 2.51176245942507 1.14182 43.2231 281.23 0.0436985 -0.001424 0.00026 -0.001444 0.000272 
4 691.4716 1 20251129 00078 4 18.6283 16.6284817868312 0 1.0 0 0.0448960620931048 2.65841138286132 1.12727 43.2231 281.23 0.0436985 -0.001442 0.00025 -0.001456 0.000277 
5 702.4726 2 20251129 00078 5 18.6283 18.3011887586723 0 1.0 0 0.0283092497761365 2.21003678647507 1.11872 43.2231 281.23 0.0436985 -0.001367 0.00045 -0.001390 0.000444 
6 702.4736 2 20251129 00078 6 18.6283 18.3046701412904 0 1.0 0 -0.00873548792481012 2.23069718427021 1.11936 43.2231 281.23 0.0436985 -0.001364 0.00045 -0.001387 0.000444 
7 702.4745 2 20251129 00078 7 18.6283 18.2740104368839 0 1.0 0 0 2.35086438988047 1.12142 43.2231 281.23 0.0436985 -0.001380 0.00054 -0.001408 0.000531 
8 702.4745 2 20251129 00078 8 18.6283 18.3698746060184 0 1.0 0 0.0295875758337824 2.38917567262963 1.1179 43.2231 281.23 0.0436985 -0.001368 0.00045 -0.001390 0.000440 
9 702.4745 2 20251130 00053 1 18.5861 18.9569959881976 0 1.0 0 0.0286270397195263 3.04224255712447 1.1152 57.7695 80.9987 0.0584222 -0.001486 -0.000067 -0.001503 -0.000066 
10 702.4745 2 20251130 00053 2 18.5861 18.8865135870124 0 1.0 0 0.0144529152906804 3.06595934821515 1.1158 57.7695 80.9987 0.0584222 -0.001489 -0.000076 -0.001506 -0.000073 
11 691.4716 1 20251130 00053 3 18.5861 19.2884004168065 0 1.0 0 -0.000272020662815469 3.14383359902073 1.11852 57.7695 80.9987 0.0584222 -0.001485 -0.000104 -0.001502 -0.000105 
12 691.4716 1 20251130 00053 4 18.5861 19.2581126619387 0 1.0 0 -0.0469328251704708 3.23718617676993 1.11401 57.7695 80.9987 0.0584222 -0.001488 -0.000086 -0.001504 -0.000083 
13 702.4726 2 20251130 00053 5 18.5861 18.7605927417162 0 1.0 0 0.00648210438497334 2.85288824845005 1.09789 57.7695 80.9987 0.0584222 -0.001488 0.00011 -0.001503 0.000111 
14 702.4736 2 20251130 00053 6 18.5861 18.8585850710379 0 1.0 0 -0.038301555896919 2.88297464075041 1.09771 57.7695 80.9987 0.0584222 -0.001494 0.00009 -0.001507 0.000089 
15 702.4745 2 20251130 00053 7 18.5861 17.6112203640797 0 1.0 0 -0.0549869299064883 2.9804477916669 1.05477 57.7695 80.9987 0.0584222 -0.001490 0.00007 -0.001504 0.000087 
16 702.4755 2 20251130 00053 8 18.5861 18.790346755447 0 1.0 0 -0.0190543376898361 3.16483736701605 1.09686 57.7695 80.9987 0.0584222 -0.001490 0.00009 -0.001503 0.000088 
