# index freq sideband ut ob j radius  fwhm1            fwhm2          amp1 amp2                 back                 rms           asp_ratio el az wvm daz1 del1 daz2 del2
1 691.4736 1 20251129 00078 1 18.6283 9.08786617001437 32.5468345094606 1.0 0.0665037692454355 -0.270166232299851 2.37425181383246 1.13024 43.2231 281.23 0.0436985 -0.001446 0.00027 -0.001468 0.000305 
2 691.4726 1 20251129 00078 2 18.6283 8.96039389079634 32.439771328821 1.0 0.0665207212938038 -0.266642716105178 2.39121335621363 1.13069 43.2231 281.23 0.0436985 -0.001446 0.00026 -0.001468 0.000303 
3 691.4716 1 20251129 00078 3 18.6283 8.01109921033645 32.6529102049018 1.0 0.0744334854427211 -0.269462615842962 2.30773973255146 1.14182 43.2231 281.23 0.0436985 -0.001424 0.00026 -0.001457 0.000285 
4 691.4716 1 20251129 00078 4 18.6283 8.947013904772 32.1211349291152 1.0 0.0679529401341335 -0.237320081914319 2.52035636853991 1.12727 43.2231 281.23 0.0436985 -0.001442 0.00025 -0.001467 0.000288 
5 702.4726 2 20251129 00078 5 18.6283 9.63488600648967 34.5623539300635 1.0 0.0738080448713905 -0.263515019086436 2.03559438882023 1.11872 43.2231 281.23 0.0436985 -0.001367 0.00045 -0.001399 0.000449 
6 702.4736 2 20251129 00078 6 18.6283 9.58840418432313 34.2445039064578 1.0 0.0754556250094712 -0.294825147381327 2.05973935469841 1.11936 43.2231 281.23 0.0436985 -0.001364 0.00045 -0.001397 0.000448 
7 702.4745 2 20251129 00078 7 18.6283 9.40914712694221 33.604770539924 1.0 0.071291233662926 0 2.20202026295219 1.12142 43.2231 281.23 0.0436985 -0.001380 0.00054 -0.001414 0.000525 
8 702.4745 2 20251129 00078 8 18.6283 9.67629036933712 34.3853413112077 1.0 0.0758918945858608 -0.289161592726013 2.19580001060543 1.1179 43.2231 281.23 0.0436985 -0.001368 0.00045 -0.001400 0.000444 
9 702.4745 2 20251130 00053 1 18.5861 6.88432104801064 32.2997540041324 1.0 0.0663174953537311 -0.310275990622293 2.79087360090964 1.1152 57.7695 80.9987 0.0584222 -0.001486 -0.000067 -0.001524 -0.000029 
10 702.4745 2 20251130 00053 2 18.5861 6.84294260670208 32.1394349938375 1.0 0.0663642271000895 -0.327360700890648 2.81468604712703 1.1158 57.7695 80.9987 0.0584222 -0.001489 -0.000076 -0.001528 -0.000033 
11 691.4716 1 20251130 00053 3 18.5861 6.53227544813192 32.5725288644279 1.0 0.0619090609164665 -0.335803582884134 2.89845102885198 1.11852 57.7695 80.9987 0.0584222 -0.001485 -0.000104 -0.001527 -0.000066 
12 691.4716 1 20251130 00053 4 18.5861 6.74546718290179 32.174716332583 1.0 0.0673394247851689 -0.404749621124044 2.96042615937589 1.11401 57.7695 80.9987 0.0584222 -0.001488 -0.000086 -0.001527 -0.000041 
13 702.4726 2 20251130 00053 5 18.5861 9.7383432731443 34.25781180589 1.0 0.0766152003157213 -0.268134005727622 2.71789858525393 1.09789 57.7695 80.9987 0.0584222 -0.001488 0.00011 -0.001519 0.000142 
14 702.4736 2 20251130 00053 6 18.5861 9.81262075112938 34.485254228808 1.0 0.0762401584191146 -0.316834048850492 2.75069314982497 1.09771 57.7695 80.9987 0.0584222 -0.001494 0.00009 -0.001522 0.000121 
15 702.4745 2 20251130 00053 7 18.5861 10.8481725009545 34.8976033323783 1.0 0.0650323118193391 -0.327023022680058 2.87454764051054 1.05477 57.7695 80.9987 0.0584222 -0.001490 0.00007 -0.001516 0.000112 
16 702.4755 2 20251130 00053 8 18.5861 9.8535293701901 34.3347254894193 1.0 0.0770436392558752 -0.326572482710929 3.01317998066519 1.09686 57.7695 80.9987 0.0584222 -0.001490 0.00009 -0.001519 0.000121 
